addrFaulty,v1,1,1,1,0,4752
addrFaulty,v2,1,1,1,0,805
addrFaulty,v1_v2,2,2,2,0,5557
arr1,v1,1,1,1,0,5989
arr1,v2,1,1,1,0,202
arr1,v1_v2,2,2,2,0,6191
arr2,v1,1,1,1,0,5999
arr2,v2,1,1,1,0,3734
arr2,v1_v2,2,2,2,0,9733
balancedBST1,v1,4,4,4,0,4668
balancedBST1,v2,4,4,4,0,1897
balancedBST1,v1_v2,8,8,8,0,6565
balancedBST2,v1,4,4,4,0,4412
balancedBST2,v2,4,4,4,0,1707
balancedBST2,v1_v2,8,8,8,0,6119
balancedBST3,v1,4,4,4,0,4872
balancedBST3,v2,4,4,4,0,2319
balancedBST3,v1_v2,8,8,8,0,7191
bemplFaulty,v1,2,2,2,0,15172
bemplFaulty,v2,2,2,2,0,10030
bemplFaulty,v1_v2,4,4,4,0,25202
cd1,v1,4,4,4,0,57209
cd1,v2,4,4,4,0,71789
cd1,v1_v2,8,8,8,0,128998
cd2,v1,4,4,4,0,60887
cd2,v2,4,4,4,0,41678
cd2,v1_v2,8,8,8,0,102565
dijkstraFaulty,v1,6,6,6,0,64264
dijkstraFaulty,v2,6,6,6,0,31239
dijkstraFaulty,v1_v2,12,12,12,0,95503
dll1,v1,4,4,4,0,4797
dll1,v2,4,4,4,0,2025
dll1,v1_v2,8,8,8,0,6822
dll2,v1,4,4,4,0,4692
dll2,v2,4,4,4,0,2005
dll2,v1_v2,8,8,8,0,6697
dll3,v1,4,4,4,0,4583
dll3,v2,4,4,4,0,2093
dll3,v1_v2,8,8,8,0,6676
dll4,v1,4,4,4,0,4570
dll4,v2,4,4,4,0,2039
dll4,v1_v2,8,8,8,0,6609
farmerFaulty,v1,3,3,3,0,50302
farmerFaulty,v2,4,4,4,0,35169
farmerFaulty,v1_v2,8,8,8,0,85471
gradeFaulty,v1,2,2,2,0,15989
gradeFaulty,v2,2,2,2,0,36282
gradeFaulty,v1_v2,4,4,4,0,52271
student0,v1,5,5,5,0,6630
student0,v2,5,5,5,0,4027
student0,v1_v2,10,10,10,0,10657
student1,v1,5,5,5,0,6531
student1,v2,5,5,5,0,6686
student1,v1_v2,10,10,10,0,13217
student10,v1,5,5,5,0,6621
student10,v2,5,5,5,0,4342
student10,v1_v2,10,10,10,0,10963
student11,v1,5,5,5,0,6378
student11,v2,5,5,5,0,5416
student11,v1_v2,10,10,10,0,11794
student12,v1,5,5,5,0,6546
student12,v2,5,5,5,0,5457
student12,v1_v2,10,10,10,0,12003
student13,v1,5,5,5,0,7283
student13,v2,5,5,5,0,7332
student13,v1_v2,10,10,10,0,14615
student14,v1,5,5,5,0,6385
student14,v2,5,5,5,0,5272
student14,v1_v2,10,10,10,0,11657
student15,v1,5,5,5,0,6589
student15,v2,5,5,5,0,6352
student15,v1_v2,10,10,10,0,12941
student16,v1,5,5,5,0,6621
student16,v2,5,5,5,0,860
student16,v1_v2,10,10,10,0,7481
student17,v1,5,5,5,0,6446
student17,v2,5,5,5,0,4798
student17,v1_v2,10,10,10,0,11244
student18,v1,5,5,5,0,6482
student18,v2,5,5,5,0,3249
student18,v1_v2,10,10,10,0,9731
student19,v1,5,5,5,0,6509
student19,v2,5,5,5,0,4243
student19,v1_v2,10,10,10,0,10752
student2,v1,5,5,5,0,6531
student2,v2,5,5,5,0,4633
student2,v1_v2,10,10,10,0,11164
student3,v1,5,5,5,0,6340
student3,v2,6,6,6,0,5818
student3,v1_v2,12,12,12,0,12158
student4,v1,5,5,5,0,6594
student4,v2,5,5,5,0,4007
student4,v1_v2,10,10,10,0,10601
student5,v1,5,5,5,0,6524
student5,v2,5,5,5,0,5216
student5,v1_v2,10,10,10,0,11740
student6,v1,5,5,5,0,6634
student6,v2,5,5,5,0,4836
student6,v1_v2,10,10,10,0,11470
student7,v1,5,5,5,0,6360
student7,v2,5,5,5,0,3997
student7,v1_v2,10,10,10,0,10357
student8,v1,5,5,5,0,6567
student8,v2,5,5,5,0,5952
student8,v1_v2,10,10,10,0,12519
student9,v1,5,5,5,0,6446
student9,v2,5,5,5,0,3808
student9,v1_v2,10,10,10,0,10254
